Id,Id2,Geography,Total,English Only,Spanish,French,French Creole,Portuguese,Russian,Chinese,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - Russian:,Estimate; Total: - Chinese:
1400000US12086003601,12086003601,"Census Tract 36.01, Miami-Dade County, Florida",3491,45.3,51.3,0.0,0.2,0.3,0.5,0.0,1580,1791,0,6,11,19,0
1400000US12086003602,12086003602,"Census Tract 36.02, Miami-Dade County, Florida",6674,8.1,91.1,0.0,0.3,0.5,0.0,0.0,541,6078,0,19,36,0,0
1400000US12086003702,12086003702,"Census Tract 37.02, Miami-Dade County, Florida",3860,41.3,46.3,0.2,0.0,6.1,0.7,0.3,1594,1786,9,0,235,28,13
1400000US12086003703,12086003703,"Census Tract 37.03, Miami-Dade County, Florida",1448,40.1,32.3,0.9,5.0,2.7,0.0,4.6,581,467,13,72,39,0,66
1400000US12086003704,12086003704,"Census Tract 37.04, Miami-Dade County, Florida",1291,44.6,39.7,0.0,0.0,8.0,0.7,0.2,576,513,0,0,103,9,3
1400000US12086003705,12086003705,"Census Tract 37.05, Miami-Dade County, Florida",1062,38.7,49.2,3.5,0.0,0.2,0.0,0.0,411,523,37,0,2,0,0
1400000US12086003706,12086003706,"Census Tract 37.06, Miami-Dade County, Florida",1302,28.1,63.9,2.5,1.4,1.2,0.0,0.0,366,832,33,18,15,0,0
1400000US12086003707,12086003707,"Census Tract 37.07, Miami-Dade County, Florida",1150,49.7,35.1,1.7,0.0,4.7,0.0,0.0,571,404,19,0,54,0,0
1400000US12086003801,12086003801,"Census Tract 38.01, Miami-Dade County, Florida",5646,47.4,39.2,2.2,0.7,3.3,0.5,0.3,2677,2211,124,37,187,27,17
1400000US12086003803,12086003803,"Census Tract 38.03, Miami-Dade County, Florida",2499,41.8,45.7,2.6,0.0,3.6,0.5,0.0,1045,1143,64,0,90,13,0
1400000US12086003804,12086003804,"Census Tract 38.04, Miami-Dade County, Florida",5470,44.1,33.6,6.9,0.0,2.0,0.2,0.0,2413,1840,377,0,112,12,0
1400000US12086003906,12086003906,"Census Tract 39.06, Miami-Dade County, Florida",2951,46.4,40.4,3.2,0.0,1.5,0.0,0.1,1369,1193,94,0,45,0,4
1400000US12086003909,12086003909,"Census Tract 39.09, Miami-Dade County, Florida",1336,23.1,70.4,0.9,0.0,0.0,2.7,0.0,309,941,12,0,0,36,0
1400000US12086003911,12086003911,"Census Tract 39.11, Miami-Dade County, Florida",4780,20.9,75.6,0.0,0.0,2.2,0.5,0.0,997,3614,0,0,104,24,0
1400000US12086003913,12086003913,"Census Tract 39.13, Miami-Dade County, Florida",4477,12.1,82.0,0.3,0.0,1.7,0.0,0.0,541,3673,15,0,75,0,0
1400000US12086003914,12086003914,"Census Tract 39.14, Miami-Dade County, Florida",3556,27.8,64.6,0.0,0.1,3.7,0.0,0.0,987,2296,0,2,131,0,0
